Date,Average Temperature,AverageTemperatureUncertainty,Country
1950-06-01,12.783,0.235,Åland
1955-06-01,10.260000000000002,0.377,Åland
1960-06-01,13.968,0.693,Åland
1965-06-01,12.197000000000001,0.632,Åland
1970-06-01,14.252,0.6759999999999999,Åland
1975-06-01,11.933,0.7120000000000001,Åland
1980-06-01,13.999,0.642,Åland
1985-06-01,11.522,0.807,Åland
1990-06-01,12.595,0.49,Åland
1995-06-01,13.494000000000002,0.467,Åland
2000-06-01,11.742,0.29100000000000004,Åland
2005-06-01,11.87,0.303,Åland
2010-06-01,12.212000000000002,0.5,Åland
2013-06-01,14.068,0.423,Åland
1950-06-01,25.083,0.23800000000000002,Afghanistan
1955-06-01,24.112,0.606,Afghanistan
1960-06-01,25.436,0.39,Afghanistan
1965-06-01,24.165,0.434,Afghanistan
1970-06-01,25.226,0.287,Afghanistan
1975-06-01,24.978,0.409,Afghanistan
1980-06-01,25.502,0.392,Afghanistan
1985-06-01,26.424,0.377,Afghanistan
1990-06-01,26.34,0.289,Afghanistan
1995-06-01,25.837,0.278,Afghanistan
2000-06-01,25.451,0.48700000000000004,Afghanistan
2005-06-01,25.745,0.6859999999999999,Afghanistan
2010-06-01,25.92,0.266,Afghanistan
2013-06-01,26.879,0.43,Afghanistan
1950-06-01,25.736,0.151,Africa
1955-06-01,25.421,0.17,Africa
1960-06-01,25.698,0.272,Africa
1965-06-01,25.234,0.39899999999999997,Africa
1970-06-01,25.859,0.3,Africa
1975-06-01,25.422,0.22,Africa
1980-06-01,25.759,0.193,Africa
1985-06-01,25.984,0.28,Africa
1990-06-01,26.427,0.233,Africa
1995-06-01,26.395,0.161,Africa
2000-06-01,26.109,0.23199999999999998,Africa
2005-06-01,26.366,0.204,Africa
2010-06-01,26.581,0.217,Africa
2013-06-01,26.324,0.188,Africa
1950-06-01,21.372,0.376,Albania
1955-06-01,19.994,0.25,Albania
1960-06-01,19.981,0.369,Albania
1965-06-01,19.943,0.632,Albania
1970-06-01,19.906,0.308,Albania
1975-06-01,19.214000000000002,0.204,Albania
1980-06-01,18.806,0.409,Albania
1985-06-01,19.503,0.452,Albania
1990-06-01,20.131,0.303,Albania
1995-06-01,20.611,0.27399999999999997,Albania
2000-06-01,21.736,0.3670000000000001,Albania
2005-06-01,20.165000000000006,0.297,Albania
2010-06-01,20.632,0.355,Albania
2013-06-01,21.07,0.486,Albania
1950-06-01,32.644,0.521,Algeria
1955-06-01,31.907,0.35,Algeria
1960-06-01,31.219,0.7070000000000001,Algeria
1965-06-01,30.515,0.9059999999999999,Algeria
1970-06-01,31.922,0.637,Algeria
1975-06-01,30.849,0.289,Algeria
1980-06-01,32.472,0.509,Algeria
1985-06-01,33.404,0.613,Algeria
1990-06-01,33.167,0.396,Algeria
1995-06-01,32.133,0.40299999999999997,Algeria
2000-06-01,32.172,0.364,Algeria
2005-06-01,32.3,0.465,Algeria
2010-06-01,32.967,0.348,Algeria
2013-06-01,32.288000000000004,0.449,Algeria
1950-06-01,26.452,0.162,American Samoa
1955-06-01,26.83,0.255,American Samoa
1960-06-01,26.858,0.29,American Samoa
1965-06-01,26.296,0.716,American Samoa
1970-06-01,27.229,0.436,American Samoa
1975-06-01,26.662,0.252,American Samoa
1980-06-01,26.79,0.266,American Samoa
1985-06-01,26.764,0.248,American Samoa
1990-06-01,27.177,0.311,American Samoa
1995-06-01,27.567,0.171,American Samoa
2000-06-01,27.083000000000002,0.8390000000000001,American Samoa
2005-06-01,27.025,0.401,American Samoa
2010-06-01,27.546,0.529,American Samoa
2013-06-01,27.65,0.38299999999999995,American Samoa
1950-06-01,19.366,0.149,Andorra
1955-06-01,17.093,0.174,Andorra
1960-06-01,18.34,0.391,Andorra
1965-06-01,17.675,0.593,Andorra
1970-06-01,18.141,0.324,Andorra
1975-06-01,16.435000000000002,0.37799999999999995,Andorra
1980-06-01,15.562000000000001,0.321,Andorra
1985-06-01,16.908,0.348,Andorra
1990-06-01,17.662000000000006,0.336,Andorra
1995-06-01,17.240000000000002,0.292,Andorra
2000-06-01,18.259,0.212,Andorra
2005-06-01,20.264,0.19699999999999998,Andorra
2010-06-01,17.811,0.22399999999999998,Andorra
